text,hashtags,conclusi,percent
"RT @refty_fachri: Si @GunRomli dari jaman nya flintstone argumen nya mentok di situ2 aja trus, sekali2 di upgrade kek.. 5555
#ILCMasjidTerp…",,POSITIVE,75.4842460155487
"RT @AfafAsyraf: @Mirazrinaa Bella Hadid macam bad photoshop.

Sorry.",,POSITIVE,75.79905986785889
RT @BellaHadidDaily: Bella Hadid posted on her Instagram story 🇯🇵 https://t.co/LYPBrVkJOf,,POSITIVE,75.34757852554321
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",,POSITIVE,79.79249954223633
"RT @MataNajwa: Sepak bola Indonesia selalu jadi buah bibir publik. Bukan karena ukiran prestasi, namun catatan buruk yang membayangi dari b…",,POSITIVE,77.63541340827942
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"Jika nanti ada koperasi umat islam yg mampu produksi sabun dan dipakai 25% saja umat islam, dan mampu mengimbangi p… https://t.co/Kgzd70LKFs",,POSITIVE,70.77959775924683
"RT @Surgabidadari3: Tanggapan Ustadz Tengku Zulkarnaen soal Pemahaman Radikal yg Keliru.
. 
🇦​🇳​🇦​🇰​ 🇲​🇮​🇱​🇪​🇳​🇮​🇦​🇱​ PILIH 
#️⃣​🇵​🇷​🇦​🇧​🇴​…",,POSITIVE,75.50795674324036
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",,POSITIVE,79.79249954223633
"11 12 sama lakik @nongandah , ""orang yang tidak mampu menjelaskan dengan bahasa sederhana, dipastikan ia tidak paha… https://t.co/o9tHHgXmbk",,POSITIVE,74.23022985458374
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",,POSITIVE,78.97812128067017
"RT @JH_talk_2_U: Dari zaman bung Karno sampai era pak SBY tidak pernah ada tudingan Mesjid Terpapar Radikal.
Hanya Era rezim Jkw ini ada st…",,POSITIVE,76.20335221290588
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",,POSITIVE,78.97812128067017
"RT @madxvxntx: Sobre a garota que mostrou os peitos no baile. 

Tove Lo 
Júlia Peixoto 
Rihanna 
Bella Hadid 
Rita Ora
ENTRE OUTRAS.

Que m…",,POSITIVE,75.50441026687622
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
HUT BATAN bikin template begini seru juga buat ngeksis di sosmed.,,POSITIVE,76.11905336380005
"RT @Rusydi_riau: ll👉 CATAT.!!!
Hanya Uztad yg Tidak Pro #RezimSontoloyo yg Hanya Di Tuduh Radikal Oelh Peneliti Abal2...

~Ustad Tengku Zul…","RezimSontoloyo, ",POSITIVE,75.10932683944702
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"RT @MbahUyok: Badan ngintel yg pakai studi Agus buat menentukan Masjid Radikal gak malu ditampol ""Ngawurisme"" sama bang Eggy?

#ILCMasjidTe…",,POSITIVE,81.14011883735657
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",,POSITIVE,79.79249954223633
"RT @AzzamAlchairy: Penjelasan pak @ustadtengkuzul singkat, tepat, padat. sehat terus pak ustadz🙏https://t.co/R8tclrw1RH",,POSITIVE,74.87487196922302
Ngaurisme vs Radikalisme 😂,,POSITIVE,75.7904589176178
"RT @dangerousaidil: You started off with ""sorry not sorry"" .... 🅱️🅾️🆖🆗 https://t.co/TyVhZmof0z",,POSITIVE,75.13715624809265
"RT @MasPresidenBaru: Lama², orang Islam pergi ke masjid. Untuk shalat. Untuk ngaji. Juga akan dicap ""radikal"".

Lama², melaksanakan perinta…",,POSITIVE,76.65497064590454
RT @Mirazrinaa: Sorry not sorry scha alyahya prettier than bella hadid https://t.co/qM1b3UQ1Ga,,POSITIVE,75.82987546920776
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"Beberapa tim berpeluang memastikan diri lolos ke fase gugur Liga Champions dini hari nanti, jadi laga mana yang aka… https://t.co/jw8Myvk14w",,POSITIVE,73.58920574188232
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",,POSITIVE,78.97812128067017
dua dua tak lawa wkwkwkwkwkw,,POSITIVE,75.79905986785889
"#ILCMasjidTerpaparRadikal
Ribut ribut kalian ini cukup di jakarta aja ya jangan ampe nyebar ke daerah daerah laen k… https://t.co/IafwQDKgGt","ILCMasjidTerpaparRadikal, ",POSITIVE,76.03827118873596
"RT @Maulana_Tigor: Gak bosan mendengar paparan dari Ust @ustadtengkuzul .
Apalagi statement terakhir,Jangan pilih Caleg yg pelihara Anjing.…",,POSITIVE,80.30621409416199
"ll👉 Tanggapan Ustadz @ustadtengkuzul Soal Pemahaman Radikal yg Keliru.

Yang Lucunya, Ustad yg Dibilang Radikal Han… https://t.co/lJaJ0mXdT6",,POSITIVE,74.94507431983948
Kenapa @ILCtvone tidak membahas kasus @Dahnilanzar  Padahal berita yang lagi hangat kan berita tersebut. Ada apa de… https://t.co/OrHWBU9OkL,,POSITIVE,76.40433311462402
"Ada yg lg ditatar jg diceramahi sama  Eggi Sudjana ttg radikal jg ideologi , terima kasih pa Eggi S bertambah ilmu… https://t.co/aACB6U1c9x",,POSITIVE,70.30128240585327
RT @Mirazrinaa: Sorry not sorry scha alyahya prettier than bella hadid https://t.co/qM1b3UQ1Ga,,POSITIVE,75.82987546920776
"RT @Futbool_Fotos: Gennaro Gattuso sorprendió el día de ayer a Anna, una abuelita de 100 años que ha apoyado al AC Milán en las buenas (15…",,POSITIVE,71.52454853057861
"RT @degreatiskandar: Dagang mesjid radikal anti klimaks, gak laku. Giliran bicara, ganti jualan jd dagang kampus radikal. Hadeuh, malesin.…",,POSITIVE,82.84055590629578
RT @puneirejang: Bella hadid pon kira rugi jugak mai sini tapi tak terserempak dengan aku,,POSITIVE,75.34152865409851
"RT @putrabanten80: Jika Seseorang Tidak Bisa Menjelaskan Secara Sederhana,
Maka Bisa Jadi Seseorang Itu Belum Mengerti Sepenuhnya
~Albert E…",,POSITIVE,75.79905986785889
"RT @MasPresidenBaru: Kenapa mrk tdk sekalipun menyebut para CINA GARONG super KAKAP:
- Eddy Tansil
- BLBI
- Century
- RSSW
- BusTransJkt
-…",,POSITIVE,75.15590190887451
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
RT @jaiyrhighness: Bella hadid okay tak tu? Macam kena truth or dare je... https://t.co/nWEsHTpHBY,,POSITIVE,75.77610611915588
"RT @RajaPurwa: Guntur Romli dah ngoceh dari A ampe Z,  ehhh ditutup ama @karniilyas , orang yang tidak mampu menjelaskan dengan bahasa sede…",,POSITIVE,64.42682147026062
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
… Masjid yang dibangun atas landasan takwa sejak hari pertama itu lebih berhak untuk kau jadikan tempat bermukim. D… https://t.co/0GQuSTU8rY,,POSITIVE,74.51122403144836
"RT @RajaPurwa: Calon anggota DPR yang ditembak @ustadtengkuzul :-)

#ILCMasjidTerpaparRadikal https://t.co/h9NdaPcwAx","ILCMasjidTerpaparRadikal, ",POSITIVE,76.3609230518341
